Port,Fuel,NO_x,SO_2,PM_10,PM_2.5,VOC,CO,PAH,CO_2e,BerthVisits
Melbourne,76383,4375,3940,478,440,99,277,1.45,247618,3065
Dampier,62287,3131,2869,343,315,87,262,1.09,201753,3821
Brisbane,60752,3140,3045,362,333,75,192,1.11,197155,2271
Hay Point,40352,1896,2113,245,225,60,164,0.74,130725,841
Fremantle,38135,1597,1798,204,187,46,127,0.64,123790,1633
Port Hedland,24215,1246,1088,131,121,36,103,0.43,78397,1357
Botany,19535,698,1022,112,103,23,62,0.34,63454,1345
Gladstone,15127,801,709,85,78,21,58,0.27,49021,1243
Port Jackson,12831,585,403,47,44,13,50,0.19,41465,278
Newcastle,12499,588,555,65,60,17,52,0.21,40492,1703
Geelong,9366,300,461,49,45,9,23,0.15,30482,542
Port Kembla,8812,401,442,51,47,12,34,0.16,28565,961
Port Walcott,8020,400,411,49,45,12,36,0.15,25954,495
Adelaide,7877,339,375,43,39,10,28,0.13,25560,1013
Darwin,6085,287,234,28,25,8,25,0.1,19716,817
Devonport,5632,314,293,34,32,8,24,0.1,18242,605
Bunbury,3440,149,158,18,17,5,13,0.06,11156,389
Townsville,3266,144,144,17,15,4,12,0.05,10595,492
Weipa,3147,164,149,18,16,4,13,0.06,10198,406
Mackay,2373,101,107,12,11,3,9,0.04,7698,166
Geraldton,2371,109,107,12,11,3,9,0.04,7688,327
Abbot Point,2059,105,95,11,10,3,9,0.04,6671,177
Burnie,1808,97,91,11,10,3,8,0.03,5855,329
Portland,1792,78,76,9,8,2,7,0.03,5815,261
Launceston,1645,77,72,8,8,2,6,0.03,5334,215
Hastings,1620,75,75,9,8,2,6,0.03,5258,129
Albany,1158,55,54,6,6,2,5,0.02,3754,107
Port Lincoln,1151,51,58,6,6,2,4,0.02,3734,114
Hobart,871,44,37,4,4,1,4,0.01,2821,51
Thevenard,703,33,32,4,3,1,3,0.01,2282,123
Broome,539,26,23,3,3,1,2,0.01,1744,193
Cape Flattery,506,28,26,3,3,1,2,0.01,1638,40
Esperance,445,18,22,2,2,1,2,0.01,1445,32
Port Alma,413,17,14,2,1,0,1,0.01,1341,75
